Project ID,Category,Title,County,Improvement Type,Cost,Primary Project, Description
"94920","Completed","PA 241 over PA 283 Br Prs","Lancaster     ","Bridge Preservation Activities","690822","null","PA 241 (Mount Gretna Road) over PA 283
Mount Joy Township
Bridge Preservation"
"94922","Completed","Malleable Road Br PM","Lancaster     ","Bridge Preservation Activities","1230502","null","SR 4061 (Malleable Road) over US 30 (Lincoln Highway)
West Hempfield Township and Columbia Borough
Bridge Preservation"
"94923","Completed","East Walnut St Br PM","Lancaster     ","Bridge Preservation Activities","1124866","null","PA 23 (East Walnut Street) over Conestoga River
East Lampeter Township and Lancaster City
Bridge Preservation"
"94927","Completed","PA 23 Resurfacing","Lancaster     ","Resurface","3317857","null","PA 23 (New Holland Pike) from Hellers Church Road to Kinzer Avenue
Upper Leacock, Earl and West Earl Townships and New Holland Borough
Milling & Resurfacing"
"94933","Completed","Church Road over I-83","York          ","Bridge Preservation Activities","523015","null","PA 283(Church Road) over I-83
Manchester Township
Bridge preservation"
"94934","Completed","Thompson Ave Bridge PM","Lebanon       ","Bridge Preservation Activities","433557","null","SR 4005 Thompson Avenue over Swatara Creek
Annville Township
Bridge Preservation"
"94935","Completed","Lickdale Road Bridge # 2","Lebanon       ","Bridge Preservation Activities","595922","null","SR 1020 Lickdale Road over Swatara Creek
Swatara and Union Townships
Bridge Preservation"
"94936","Completed","US422 Safety Project","Lebanon       ","Corridor Safety Improvement","2285937","null","Intersection and Safety Improvements
US 422 from PA 645 to Martin Drive
Jackson Township and Myerstown Borough"
"94937","Completed","422 & Ramona Rd Intersect","Lebanon       ","Safety Improvement","1864127","null","Intersection of PA 422(Cumberland Street) and Ramona Drive
Jackson Township
Intersection Improvement"
"94942","Completed","BlueGray Hwy Adaptive Signals","York          ","Existing Signal Improvement","380913","null","US 15 (Blue and Gray Highway) corridor 
Carroll Township and Dillsburg Borough
Adapative Signal Improvements"
"94952","Completed","PA 981 Signals - Latrobe","Westmoreland  ","Traffic System Management","3482640","null","PA 981 and Ligonier Street 
City of Latrobe, Westmoreland County
Congestion Reduction (CMAQ)"
"94958","Completed","Centre 2013 Br. Preserv.","Centre        ","Bridge Preservation Activities","2225577","null","SR 0064 over Little Fishing Creek in Walker Township, SR 0322 over Galbraith Gap Run in Harris Township, SR 0322 over Township Road in Worth Township, SR 3040 over Laurel Run in Huston Township.
Bridge Preservation"
"94960","Completed","Centre 2015 Br. Preserv.","Centre        ","Bridge Preservation Activities","1909003","null","4 Structures on SR 0144 (2), 0504 & 3014
Various Municipalities
Bridge Preservation"
"94962","Completed","T-733 Keafer Bens Crk Brg","Somerset      ","Bridge Rehabilitation","130414","null","Over Bens Creek
Conemaugh Township
Bridge Rehabilitation"
"94963","Completed","T-575 Bobs Creek Brdg","Bedford       ","Bridge Rehabilitation","177485","null","Over Bobs Creek
East St Clair Township
Bridge Rehabilitation"
"94973","Completed","T-407 N Br Conemaugh Rvr","Cambria       ","Bridge Replacement","590110","null","Over North Branch Conemaugh River
Munster Township
Bridge Replacement"
"95033","Completed","Brdg Preservation 2012-2","Fayette       ","Bridge Preservation Activities","805118","null","Varaious Routes
District Wide
Bridge Preservation"
"95174","Completed","I-80/US 11 Phase B ITS","Columbia      ","Traffic System Management","4310318","null","I-80/US 11 interchange area
South Centre Township 
Phase B ITS devices"
"95185","Completed","I180/US15/US220 Pha B ITS","Lycoming      ","Traffic System Management","0","95174","Phase B ITS Devices"
"95188","Completed","LVTS High FrictionSurface","Lehigh        ","Surface Treatment","647356","null","Various road segments at identified crash locations
Lehigh and Northamtpon Counties
High friction surface treatment"
"95190","Completed","378 HTCable MedianBarrier","Lehigh        ","Median Barrier","492895","null","PA 378
north from Broad Street overpass to US 22 Interchange
City of Bethlehem, Lehigh County
Install high tension cable median barrier"
"95191","Completed","Lincoln Hwy Resurfacing","Lancaster     ","Resurface","0","95191","PA 462 (Lincoln Way) from Greenfield Road to exit ramp from US 30 Eastbound
East Lampeter Township
Resurfacing"
"95192","Completed","Lititz Pike Resurfacing","Lancaster     ","Resurface","1450534","null","PA 501 (Lititz Pike) from SR 4042 (Chester Road) to PA 722 (Oregon Road)
Manheim Township
Resurfacing"
"95194","Completed","Anderson Ferry Resurface  2","Lancaster     ","Pavement Preservation","1967945","null","PA 772 (Anderson Ferry Road/Marietta Avenue) from SR 4015 (Union School Road) to Delta Street
East Donegal Township and Mount Joy Borough
Resurfacing"
"95195","Completed","Greenfield Rd Resurfacing","Lancaster     ","Resurface","0","95192","SR 1001 (Greenfield Road) from SR 8026 (Ramp to/from US 30 Eastbound) to SR 3028 (Hempstead Road)
Lancaster City and East Lampeter Township
Resurfacing"
"95209","Completed","Nottingham Rd Resurfacing","Lancaster     ","Resurface","1224050","null","PA 272 (Nottingham Road) from US 222 to SR 2003 (Little Britain Road)
Little Britain and Fulton Townships
Resurfacing"
"95211","Completed","US 322 Resurfacing","Lancaster     ","Resurface","2585385","null","US 322 from Academy Drive to Hinkletown Bridge
Ephrata Borough and Ephrata, Earl and West Earl Townships
Resurfacing"
"95221","Completed","Hershey Road Resurfacing","Lancaster     ","Resurface","1833303","null","PA-743 (Hershey Rd) from the Dauphin County Line to PA-241 (Mount Gretna Rd). PA-241 from PA-743 to PA-230. SR 8015 (PA-283 Ramps) at PA-743 interchange.
Mount Joy Twp, Elizabethtown Boro
Resurfacing"
"95222","Completed","Newport Road Resurfacing","Lancaster     ","Resurface","1162069","null","PA 772 (Newport Road/Glenbrook Road) from Greenwood Avenue to PA 23 (New Holland Pike)
West Earl and Upper Leacock Townships
Resurfacing (1" Overlay)"
"95245","Completed","Oxford Dr ov LittleLehigh","Lehigh        ","Bridge Preservation Activities","642603","null","Oxford Drive (SR 2007) over Little Lehigh River
City of Allentown
Lehigh County
Bridge Preservation"
"95249","Completed","Fleecy Dale Rd Repr/Re(F)","Bucks         ","Reconstruct","2027662","null","Fleecy Dale Road (SR 1004) Repair and Reconstruction
Solebury Township, Bucks County
Retaining Wall Repair and Roadway Reconstruction"
"95250","Completed","SR202/SR422 Repair/Rec(F)","Chester       ","Reconstruct","5677236","null","SR 202 and SR 422 Repair and Reconstruction
Upper Merion Township, Montgomery County
Tredyffrin Township, Chester County
Roadway Reconstruction"
"95287","Completed","Donora/Webster Area Roads","Washington    ","Restoration","1545426","null","PA 837 from Thirteenth Street to Ridge Road
Donora Borough, Carroll Township, Monongahela City, Washington County
Highway Restoration"
"95288","Completed","PA 906 Rockfall Repair","Westmoreland  ","Safety Improvement","5709409","null","PA 906
Rostraver Township, Westmoreland County.
Rockfall Repairs"
"95289","Completed","SR 1018 S. Br Equinunk Ck","Wayne         ","Replace/Rehab","883362","null","Bridge replacement on State Route 1018 over South Branch Equinunk Creek, in Manachester Township, Wayne County."
"95320","Completed","S Queen St / Rathton Road","York          ","Add Turning Lane","435584","null","Intersection of PA 74 (South Queen Street) and SR 3054 (Rathton Road)
Spring Garden Township and York City
Add eastbound turning lane, radius improvements on southeast and southwest corners, signal timing improvements."
"95358","Completed","D12 Slides 2012-2","Greene        ","Slides Correction","10190486","null","US 19, I-79, PA 88, PA 188, Slide Repair
Franklin, Jefferson and Washington Townships.
Greene County"
"95366","Completed","SR 202 over AMTRAK (C)","Chester       ","Bridge Rehabilitation","30180741","null","SR 202 over AMTRAK
West Whiteland Township, Chester County
Deck replacement and substructure rehabilitation
"
"95420","Completed","D12 Slides 2012-3","Fayette       ","Slides Correction","1122899","null","PA 906, SR 4003, PA 844, SR 2011, SR 2016, SR 4012, SR 4029
Brownsville, Cross Creek, Fallowfield, Hopewell, Smith, Washigton , and West Bethlehem Township, Deemston Borough
Fayette/Washington Slide Repairs
"
"95436","Completed","Fed Aid Paving 4-13-FP 1","Lackawanna    ","Surface Treatment","5159996","null","Lackawanna / Luzerne Counties
Various Municipalities
Various SR's
Surface Treatment"
"95457","Completed","Group 4-16-BR 1","Luzerne       ","Bridge Preservation Activities","2413457","null","Bridge preservation on SR 347, Scott Township, SR 6006, City of Carbondale, Lackawanna County, Interstate 81, Ashley Borough, S R 2035, Pittston Township, Luzerne County."
"95492","Completed","Grandview Rd Sidewalk","Venango       ","Pedestrian Facilities","194659","null","The south side of State Route 1001 (Grandview Road) from north of Hillcrest Avenue to the intersection with Oak Road
Cornplanter Township
Sidewalk, crosswalk, ADA curb ramps and detectable warning surfaces"
"95493","Completed","Tionesta Curb Ramps","Forest        ","Pedestrian Facilities","143970","null","Elm Street (State Route 36 and State Route 62) from the intersection of Irwin Street to the intersection of German Hill Road 
Borough of Tionesta
Installation of sidewalks curb ramps"
"95498","Completed","Leitersburg Rd/I-81 Brdgs","Franklin      ","Bridge Deck Replacement","4022653","null","I-81 NB/I-81 SB Bridges. 2 superstructure replacements, substructure work and perform minor roadway approach work.
I-81 over State Route 2002 (Leitersburg Road)
Antrim Township"
"95548","Completed","SR 4009 ov Troups Cr","Tioga         ","Bridge Replacement","1234700","null","Bridge replacement on SR 4009 over Troups Creek in Brookfield Township, Tioga County."
"95554","Completed","Ramp A Rd ov SR 65","Beaver        ","Bridge Preservation Activities","0","29032","Bridge Preservation on Ramp A over SR 65 at SR 2002 Interchange in Freedom Borough, Beaver County"
"95558","Completed","SR 4012: Interchange Rd Impr","Erie          ","Widen","22213960","null","State Route 4012 (Interchange Road)  from Old Zuck Road to Zimmerly Road and PA 699 from Zimmerly Road to Peach Street
Millcreek Township
Reconstruction"
"95568","Completed","SR 19: 5 Leg Intersection","Mercer        ","Existing Signal Improvement","1436007","null","State Route 19 (Perry Highway) at the five legged intersection with State Route 62, State Route 58 (Greenville Road) and North Street
Borough of Mercer
Replace/upgrade signalization and restrict movements on North Street"
"95588","Completed","Shippenville - Fryburg PM","Clarion       ","Resurface","3009010","null","Along SR 208 from US 322 to its intersection with PA 157
Shippenville Borough, Elk and Paint Townships
Resurfacing"
"95593","Completed","Sigel South PM","Jefferson     ","Resurface","3179616","null","SR 949 from US 322 (Main Street) to PA 36
Corsica Boro, Union Township and Eldred Township
Highway resurfacing"
"95595","Completed","SR 62: Valley Road - SR 8","Venango       ","Resurface","1722673","null","State Route 62 (Main Street) from State Route 3024 (Valley Road) to State Route 8 (15th Street)
Borough of Polk and French Creek and Sandy Creek Townships
Restoration/Resurfacing"
"95607","Completed","144/120 Bridge Rehabs.","Clinton       ","Bridge Preservation Activities","1202834","null","State Route 0120 over Young Womens Creek
State Route 0144 over West Branch Susquehanna River
Bridge Preservation"
"95613","Completed","Erie Preserve Br Group","Erie          ","Bridge Rehabilitation","1770000","null","SR 89 and SR 4032
Amity Township and Lawrence Park Township
Bridge Rehabilitation"
"95616","Completed","US 15 to High Street","Union         ","Resurface","0","95618","SR 1011 from US 15 to High Street
Kelly Township
Mill and Resurfacing"
"95617","Completed","SR 642 to High Street","Union         ","Resurface","0","95618","SR 1009 from SR 642 to High Street
White Deer and Jordan Townships
Mill and Resurfacing"
"95618","Completed","Ninth Street to SR 642","Union         ","Resurface","488303","null","SR 1004 from Ninth Street to SR 642
Kelly Township
Mill and Resurfacing"
"95619","Completed","Broad St to River Rd","Union         ","Resurface","0","95618","SR 642 from Broad Street to River Road
Kelly Township
Mill and Resurfacing"
"95621","Completed","Bridge Replacement","Westmoreland  ","Bridge Replacement","182800","null","SR 3015
Segment 0070 Offset 0954
Segment 0070 Offset 0558
Segment 0070 Offset 0200
Rostraver Township
Westmoreland County
Replace bridges with concrete culverts"
"95635","Completed","PA164/SR2012 Int Improve","Cambria       ","Safety Improvement","512318","null","PA 164 at the intersection of Dulancy Drive (SR 2012)
Portage Borough
Intersection widening and signal upgrade improvements and overlay"
"95642","Completed","SR 4022 over Meadow Run- DFB","Fayette       ","Bridge Replacement","392200","null","SR 4022 over Meadow Run
Luzerne Township, Fayette County
Bridge replacement"
"95646","Completed","SR 287 Morris Twp Slide","Tioga         ","Slides Correction","414957","null","SR 287 East of SR 414
Morris Township
Slide Repair
SEG 0070/1000 to 0070/1600"
"95648","Completed","Milton Boro to T-582","Northumberland","Resurface","0","95652","SR 642 from Milton Borough to T-582
Turbot Township and Milton Borough
Resurfacing"
"95652","Completed","Gearhart Rd to Walnut St","Northumberland","Resurface","750772","null","SR 1007 from Gearhart Road to Walnut Street
McEwensville Borough
Mill and Resurfacing"
"95655","Completed","SR 1005 to Middle Road","Snyder        ","Surface Treatment Micro-Surfacing","0","95657","SR 104 from SR 1005 to Middle Road
Center Township
Microsurfacing"
"95657","Completed","T-425 to Lycoming Co","Union         ","Surface Treatment Micro-Surfacing","539102","null","US 15 from T-425 to Lycoming County
Gregg Township
Microsurfacing"
"95658","Completed","Snyder Co to Tenth Street","Union         ","Surface Treatment Micro-Surfacing","0","95657","SR 104 from Snyder County to Tenth Street
Limestone Township
Microsurfacing"
"95660","Completed","T-468 to Cornell Road","Bradford      ","Resurface","628855","null","US 6 from T-468 to Cornell Road
Wyalusing Township
Resurfacing"
"95661","Completed","Susquehanna Riv to SR 187","Bradford      ","Resurface","1028434","null","US 6 from the Susquehanna River to SR 187
Wysox Township
Mill and Resurface"
"95666","Completed","Industrial Prk Rd Phase 2","Cambria       ","Widen/Resurfacing (no additional lanes)","359305","null","From Allenbill Drive to CTC Drive
Richland Township
2-Lane to 3-Lane template to provide a turn lane"
"95695","Completed","US 40 @ New Salem Road","Fayette       ","Intersection Improvement","2066518","null","US 40 @ New Salem Road
South Union Township, Fayette County
Intersection Improvements"
"95696","Completed","Ingomar Road Resurface","Allegheny     ","Resurface","0","93567","Resurface and realign to improve bicycle and pedestrian shared area on SR 4070, Ingomar Road between Kummer Road and Babcock Blvd in McCandless, Allegheny County
"
"95711","Completed","Elmira St to Corey Creek","Tioga         ","Resurface","0","95713","SR 1002 from Elmira Street to Corey Creek
Mansfield Borough
Mill and resurface"
"95712","Completed","Elmira St to Sullivan St","Tioga         ","Resurface","0","95713","SR 1006 from Elmira Street to Sullivan Street
Mansfield Borough
Mill and Resurface"
"95713","Completed","SR 660 to Richmond Drive","Tioga         ","Resurface","945016","null","SR 2005 from SR 660 to Richmond Drive
Richmond Township
Mill and resurface"
"95731","Completed","Furnace St Xing UpGrade","Berks         ","RR Warning Devices","247000","null","SR 2082 (Furnace Street)
at grade crossing - 591-980R
Borough of Birdsboro
Berks County
Upgrade crossing"
"95747","Completed","Bridge Demand Mtc 5, 2013","Allegheny     ","Bridge Rehabilitation","929770","null","Bridge repairs on various structures in district 11"
"95759","Completed","SMP-B /SR 376, 28 & 422","Lawrence      ","Video Cameras","1929742","null","The installation of CCTV cameras, DMS on SR 28 from SR 8 to Pittsburgh Mills Interchange, Allegheny County.  Also included I376 from Toll 376 to Middlesex Interchange and SR 422 from Toll 376 to Business 422."
"95766","Completed","Reach Road Improvements","Lycoming      ","Widen/Resurfacing (no additional lanes)","614771","null","State Route 1005 from Smith Road to Austinville Road 
Sullivan Township
Resurfacing"
"95772","Completed","Hepburn St to Faxon","Lycoming      ","Miscellaneous","139120","null","I 180 from Hepburn Street to Faxon
City of Williamsport and Loyalsock Township
Asphalt Plug Joints"
"95775","Completed","Rocherty Rd/PA 72 Int.","Lebanon       ","Intersection Improvement","4880692","null","Intersection Improvements
Intersection PA 72 and Rocherty Road
North Cornwall Township
Lebanon County"
"95779","Completed","Shamokin Crk to SR 4012","Northumberland","Resurface","273483","null","SR 4005 from a Tributary to Shamokin Creek to SR 4012.
Snydertown Borough
Mill and Resurfacie"
"95784","Completed","Mead Rd to Ringdale","Sullivan      ","Surface Treatment Micro-Surfacing","0","97499","US 220 from Mead Road to Ringdale
Laporte Township
Microsurface"
"95815","Completed","Osterburg Covered Bridge","Bedford       ","Bridge Rehabilitation","236209","null","Over Bobs Creek
East St Clair Township
Covered Bridge Rehabilitation"
"95847","Completed","Pollock Bridge","Indiana       ","Bridge Replacement","946503","null","Existing structure carrying US 119 over an unnamed tributary to Pine Run
Rayne Township
Bridge Replacement"
"95848","Completed","Home Bridge #3","Indiana       ","Bridge Replacement","1002265","null","Existing structure carrying US 119 over a tributary to Pine Run
Rayne Township
Bridge Replacement"
"95849","Completed","US 422 ov Br of Carney Run","Indiana       ","Bridge Replacement","1357699","null","Existing structure carrying US 422 over a branch of Carney Run
Pine Township
Bridge Replacement"
"95856","Completed","T-720 Hoosicks Bridge","Armstrong     ","Bridge Replacement","577233","null","Existing structure carrying T-720 (South Miller Road) over the south branch of Cowanshannock Creek
Cowanshannock Township
Bridge Replacement"
"95868","Completed","SR 358 Sidewalk Project","Mercer        ","Transportation Enhancement","0","94768","From the end of the existing sidewalk under the Canadian National overpass to Sixth Avenue along the northside of SR 358
Borough of Greenville and Hempfield Township
Cement concrete sidewalk and curb"
"95869","Completed","Grove City Stscape Phs 2","Mercer        ","Transportation Enhancement","237889","null","Pine Street between South Center Street and South Broad Street 
Borough of Grove City
Sidewalks, crosswalks, street lighting, ADA curb ramps, landscaping, and furniture."
"95873","Completed","Trout Island Trail Phs. 3","Mercer        ","Transportation Enhancement","61903","null","1,500 feet south of the Trout Island Road trailhead to the Shenango River Reservoir Dam 
Borough of Sharpsville 
Paving 3,100 feet of trail"
"95877","Completed","Reg. Trail/Walkway Phs 1","Mercer        ","Transportation Enhancement","195129","null","High Street from Walnut Street to Canal Park 
Borough of Sharpsville
Transportation Alternative"
"95891","Completed","Bedford Heritage Trail","Bedford       ","Pedestrian Facilities","1417663","null","Bedford Borough south roughly parallel to Old US 220 (SR 4009) to Bedford Springs Resort
Bedford Borough and Bedford Township
Contruction of hike/bike trail that will include 2 bridge structures"
"95892","Completed","H&BT Rail Trail Ph 2","Bedford       ","Pedestrian Facilities","308295","null","Intersection of PA 915 and Cooper Sawmill Road (T-490) in Broad Top Township and continuing south 4 miles
Broad Top, Hopewell, and West Providence Townships
Contruction of rail trail including the rehabilitation of trestle bridge"
"95893","Completed","Benson Borough Ph I","Somerset      ","Street Scapes","389862","null","From First Lane to Mill Street
Benson Borough
Upgrading sidewalks, curbing, and drainage structures, decorative lighting, and streetscape trees"
"95894","Completed","Smrst Uptown St Enhance","Somerset      ","Scenic Beautification","41155","null","PA 601 from Fariview Street to Church Street and US 31 (Main Street) from South Rosina Avenue to North Pleasant Ave
Somerset Borough
Placement of new planters, trash receptacles, and street light banners"
"95895","Completed","Somerset Hospital Ph 3","Somerset      ","Street Scapes","131492","null","US 31 from PA 601 to South Pleasant Ave and East Race St from South Center Ave (SR 3025) to South Pleasant Ave
Somerset Borough
Streetscape enhancements including curb, ADA Ramps, sidewalks, trees, and lighting"
"95897","Completed","Lower Trl Fld Protection","Huntingdon    ","Transportation Enhancement","131949","null","Near Water Street on an un-named Tributary of Frankstown Branch of the Juniata River
Morris Township
Reestablishment of a stream retaining wall and restore the berm"
"95898","Completed","Edgewood Int. Improvement","Indiana       ","Safety Improvement","1325860","null","Existing at-grade intersection of PA 286 and SR 3056 (Old Route 56 Highway)
Center Township
Safety Improvement"
"95904","Completed","Shelocta ThreeLane Safety","Indiana       ","Safety Improvement","1519227","null","Along US 422 from west of PA 56 to east of T-362 (Ridge Road)
Shelocta Borough and Armstrong Township
Safety Improvement"
"95906","Completed","Mifflinburg to Front St","Union         ","Surface Treatment Micro-Surfacing","0","95657","SR 304 from Mifflinburg to Front Street
Limestone Township
Microsurface"
"95912","Completed","T-500 Hunter Rd Bridge","Blair         ","Bridge Rehabilitation","0","22599","Over Bells Gap Run
Antis Township
Bridge Rehabilitation"
"95916","Completed","T590 Sugar Run Rd Bridge","Blair         ","Bridge Removal","0","22599","Over Sugar Run
Allegheny Township
Bridge Removal"
"95917","Completed","T-588 Mill Rd Brdg Rehab","Blair         ","Bridge Rehabilitation","0","22599","Over Dry Run
Blair Township
Bridge Rehabilitation"
"95924","Completed","T-405 River Rd Brdg Rehab","Blair         ","Bridge Rehabilitation","0","22599","Over Old Town Run
Frankstown Township
Bridge Rehabilitation"
"95928","Completed","T-322 Tippy Hill Rd Brdg","Blair         ","Bridge Rehabilitation","0","22599","Over South Poplar Run
Greenfield Township
Bridge Rehabilitation"
"95931","Completed","T-342 Clover Creek Bridge","Blair         ","Bridge Rehabilitation","0","95940","Over Clover Creek
Huston Township
Bridge Rehabilitation"
"95934","Completed","T-342 Clover Creek Br 2","Blair         ","Bridge Rehabilitation","0","95940","Over Clover Creek
North Woodbury Township
Bridge Rehabilitation"
"95936","Completed","T-365  Weitzel Hill Rd Br","Blair         ","Bridge Rehabilitation","0","95940","Over Plum Creek
Taylor Township
Bridge Rehabilitation"
"95937","Completed","T-431 Wertz Rd Brdg Rehab","Blair         ","Bridge Rehabilitation","0","95940","Over Piney Creek
Woodbury Township
Bridge Rehabilitation"
"95938","Completed","T-454 Lowr Clovr Ck Rd Br","Blair         ","Bridge Rehabilitation","0","95940","Over Clover Creek
Woodbury Township
Bridge Rehabilitation"
"95940","Completed","T-424 Scotch Valley Rd Br","Blair         ","Bridge Rehabilitation","879119","null","Over Brush Run
Frankstown Township
Bridge Rehabilitation"
"95947","Completed","12-13-SI5 SIP Contract","Westmoreland  ","Resurface","4033456","null","Various state routes
Various municipalities
Westmoreland County
12-13-SI5
SIP Contract"
"96065","Completed","Lower Trail Improvments","Blair         ","Pedestrian Facilities","90502","null","Over Frankstown Branch of Juniata River
Catharine Township
Bridge Re-decking"
"96079","Completed","Surface  Improvement 1B","Berks         ","Resurface","1204009","null","Surface Improvement (Pave) to portions of SR 1021, 1029, 737, and 3023 in Kutztown Boro, Maxatawny, Spring, and Lower Heidelberg Twps. in Berks County."
"96081","Completed","Surface Improvement 1D","Berks         ","Resurface","1121363","null","Surface Improvement (Pave) to a portion of SR 10 in Caernarvon Township, New Morgan Borough, and Cumru Township; and SR 724 in Cumru Township in Berks County."
"96082","Completed","Surface Treatment 2A-Micr","Carbon        ","Surface Treatment Micro-Surfacing","445861","null","Surface Treatment (Micro Surface) to SR 209 in Nesquehoning and Jim Thorpe Boroughs, SR 93 in Beaver Meadows Borough and SR 309 in BanksTownship in Carbon County."
"96083","Completed","Surface Improvement 3A","Lehigh        ","Resurface","557506","null","Surface Improvement (Pave) to SR 329 in North Whitehall Township and SR 4003 in Weisenberg and Lowhill Townships in Lehigh County."
"96089","Completed","Surface Improvement 6A","Schuylkill    ","Resurface","745029","null","Surface Improvement (Pave) to SR 924 and SR 339 from SR 339/SR 924 merge near Brandonville to change in pave near Town of Sheppton in East Union Township, Schuylkill County."
"96093","Completed","District 5 AWPM FY 12-13","Carbon        ","Reflective Pavement Markers","327016","null","various locations
District 5
Install and maintain all-weather pavement markings"
"96099","Completed","Churchill St Improvements","Cambria       ","Street Scapes","298485","null","Intersection of Churchill Street and Bedford Street (SR 3016)
Geistown Borough
Upgrade pedestrian signals, pavement markings, construction of drop off lane, and new sidewalks"
"96100","Completed","St Peter St Sidewalks Ph2","Cambria       ","Transportation Enhancement","45640","null","Between downtown Loretto and the Saint Francis University campus along Saint Peter Street
Loretto Borough
Paving, street lamps, and hand-rails"
"96104","Completed","I-81 NB/SB Paving Project","Lackawanna    ","Surface Treatment","3770448","null","Lackawanna / Luzerne Counties
City of Scranton and Moosic Borough
SR 81 Bituminous Overlay, Milling, Tack, Mainline and Shoulders.  
"
"96108","Completed","CornwalI Rd and Isabel Dr","Lebanon       ","Intersection Improvement","0","95775","Intersection Improvement
Cornwall Road (SR 2001) and Isabel Drive
North Cornwall Township
Lebanon County"
"96110","Completed","US 30 Resurface #2","Adams         ","Resurface","2450376","null","East of SR 234 (near Oak Drive) to east of SR 3011 (Cashtown Road)
Franklin Township
Adams County
Resurface"
"96113","Completed","SR 6: Fr Ck Pkwy-Main St","Crawford      ","Resurface","975283","null","State Route 6 from the French Creek Parkway to Main Street and State Route 77 (Blooming Valley Road)
West Mead, Woodcock, East Mead, and Hayfield Townships and the Boroughs of Saegertown and Blooming Valley
Resurface"
"96116","Completed","SR 18: New Castle Road","Mercer        ","Resurface","1767375","null","SR 18 (New Castle Road), SR 358 from Main Street to Hadley Road, and SR 158 (Mercer Road) 
Borough of Greenville, East Lackawannock, Hempfield, Shenango, and Wilmington Townships
Resurface - mill and overlay"
"96118","Completed","State Route 62","Warren        ","Resurface","452954","null","State Route 62
Watson and Pleasant Townships
Resurface - mill and inlay"
"96120","Completed","D12 2013 Expansion Dam 2","Westmoreland  ","Bridge Preservation Activities","746555","null","Various Routes
Westmoreland County
Bridge Preservation"
"96121","Completed","West Co Metal Clvrt Pres","Westmoreland  ","Bridge Preservation Activities","793057","null","Various Routes
Westmoreland County 
Bridge Preservation"
"96122","Completed","Wash Co Metal Clvrt Pres","Washington    ","Bridge Preservation Activities","725537","null","Various routes
Washington County
Bridge Preservation"
"96123","Completed","PA 56 Metal Culvrt Preser","Westmoreland  ","Bridge Preservation Activities","708566","null","PA 56 (Leechburg Road) over Branch of Chartiers Run 
City of Lower Burrell, Westmoreland County
Bridge Preservation"
"96148","Completed","US 222 NB Conestoga Br","Lancaster     ","Bridge Preservation Activities","3213527","null","

US-222 northbound bridge over Conestoga River
Lancaster and West Lampeter Townships
Full painting, replace rocker bearings, joint replacements, deck patching and latex overlay"
"96157","Completed","Forksville to T-444 Slide","Sullivan      ","Slides Correction","486102","null","SR 87 from Forksville to T-444
Forks Township
Slide Correction"
"96181","Completed","SR3041 Red Run Culvert","Cambria       ","Bridge Replacement","832500","null","Over Branch of Red Run
West Taylor Township
Culvert Replacement"
"96210","Completed","Maytown Road Resurface","Lancaster     ","Resurface","2605180","null","Resurface
PA 743 from SR 441 (River Road) to SR 230 (S Market St)
East Donegal Twp
Lancaster County"
"96211","Completed","Lititz Pike Resurfacing 2","Lancaster     ","Resurface","3318692","null","PA 501 from PA 722 (Oregon Road) to Litiz Borough Line 
Manheim and Warwick Townships and Lititz Borough
Lancaster County
Resurfacing"
"96212","Completed","Manheim Pike","Lancaster     ","Concrete Rehabilitation","1491428","null","PA-72 from Lancaster City line to PA-283 interchange
Manheim Twp
Concrete Patching, Diamond Grinding and Resurface"
"96216","Completed","Newport Road Resurfacing","Lancaster     ","Resurface","1423044","null","PA 41 (Newport Road) from US 30 (Lincoln Highway) to Chester County Line
Sadsbury and Salisbury Townships
Resurfacing"
"96226","Completed","York St Resurface","Cumberland    ","Resurface","2525002","null","Resurface
SR 2013 (York St) from Williams Grove Rd (SR 2011) to Gettybsurg Pike
SR 2014 (Main St) from Rupp Ave to SR 2029 (St. Johns Church Rd.)
Upper Allen Twp
Mechanicsburg  and Shiremanstown Boro's
Cumberland County"
"96228","Completed","Shepherdstown Road Resurf","Cumberland    ","Resurface","0","96226","SR 2023 (Shepherdstown Road) from PA 114 (Market Street) to SR 2014 (Simpson Street)
Upper Allen Township and Mechanicsburg Borough
Resurfacing"
"96230","Completed","PA 194 Resurface #1","York          ","Resurface","2711987","null","PA-194 (Baltimore Pike) from Adams county line to Shippensburg Rd
Washington Township
Adams County
Resurface"
"96231","Completed","Blooming Grove Rd Resurf","York          ","Resurface","2826336","null","PA-216 from SR 3033 (Manheim Road) to SR 3068 (Grandview Road)
Penn, Codorus, Manheim, West Manheim Townships
Resurface"
"96234","Completed","Susquehanna Trail Resurface","York          ","Resurface","1978325","null","PA 3001 (Susquehanna Trail) from PA 851 (Forrest Avenue) to PA 216 (Seaks Run Road)
Shrewsbury and Springfield Townships and Shrewsbury Borough
Resurfacing"
"96243","Completed","Brogue Road Resurface","York          ","Resurface","2568810","null","Resurface
SR 2069 (Muddy Creeks Fork Road) from Fawn Township to Delta Road
Lower Chanceford Township
York County"
"96244","Completed","Hanover Road Resurface","Adams         ","Resurface","1279557","null","PA 116 (Hanover Road) from East of Wheatland Drive to West of Honda Road at the Bridge over Valley Brook
Mount Pleasant Township and Bonneauville Borough
Adams County
Resurface"
"96245","Completed","Baltimore Pike Resurface","Adams         ","Pavement Preservation","2452193","null","Resurface
PA-97 (Baltimore Pike) from White Run to Mud College Road
Mount Joy Township
Adams County"
